ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
90,0.0000,300.0000,-5877.8525,-7790.1699,0.500000,0.500000,1.000000,,False,10000.0000
91,0.0000,300.0000,-6211.4778,-7536.9346,0.500000,0.500000,1.000000,,False,10000.0000
92,0.0000,300.0000,-6534.2060,-7269.9506,0.500000,0.500000,1.000000,,False,10000.0000
93,0.0000,300.0000,-6845.4711,-6989.6863,0.500000,0.500000,1.000000,,False,10000.0000
94,0.0000,300.0000,-7144.7268,-6696.6334,0.500000,0.500000,1.000000,,False,10000.0000
95,0.0000,300.0000,-7431.4483,-6391.3061,0.500000,0.500000,1.000000,,False,10000.0000
96,0.0000,300.0000,-7705.1324,-6074.2399,0.500000,0.500000,1.000000,,False,10000.0000
97,0.0000,300.0000,-7965.2992,-5745.9911,0.500000,0.500000,1.000000,,False,10000.0000
98,0.0000,300.0000,-8211.4921,-5407.1357,0.500000,0.500000,1.000000,,False,10000.0000
99,0.0000,300.0000,-8443.2793,-5058.2679,0.500000,0.500000,1.000000,,False,10000.0000
100,0.0000,300.0000,-8660.2540,-4700.0000,0.500000,0.500000,1.000000,,False,10000.0000
101,0.0000,300.0000,-8862.0358,-4332.9604,0.500000,0.500000,1.000000,,False,10000.0000
102,0.0000,300.0000,-9048.2705,-3957.7929,0.500000,0.500000,1.000000,,False,10000.0000
103,0.0000,300.0000,-9218.6315,-3575.1559,0.500000,0.500000,1.000000,,False,10000.0000
104,0.0000,300.0000,-9372.8199,-3185.7205,0.500000,0.500000,1.000000,,False,10000.0000
105,0.0000,300.0000,-9510.5652,-2790.1699,0.500000,0.500000,1.000000,,False,10000.0000
106,0.0000,300.0000,-9631.6257,-2389.1982,0.500000,0.500000,1.000000,,False,10000.0000
107,0.0000,300.0000,-9735.7890,-1983.5087,0.500000,0.500000,1.000000,,False,10000.0000
108,0.0000,300.0000,-9822.8725,-1573.8131,0.500000,0.500000,1.000000,,False,10000.0000
109,0.0000,300.0000,-9892.7233,-1160.8303,0.500000,0.500000,1.000000,,False,10000.0000
110,0.0000,300.0000,-9945.2190,-745.2846,0.500000,0.500000,1.000000,,False,10000.0000
111,0.0000,300.0000,-9980.2673,-327.9052,0.500000,0.500000,1.000000,,False,10000.0000
112,0.0000,300.0000,-9997.8068,90.5758,0.500000,0.500000,1.000000,,False,10000.0000
113,0.0000,300.0000,-9997.8068,509.4242,0.500000,0.500000,1.000000,,False,10000.0000
114,0.0000,300.0000,-9980.2673,927.9052,0.500000,0.500000,1.000000,,False,10000.0000
115,0.0000,300.0000,-9945.2190,1345.2846,0.500000,0.500000,1.000000,,False,10000.0000
